Order ID,Order Date,Month,Quarter,Year,Region,City,Product Category,Product Name,Units Sold,Unit Price,Sales Amount,Discount %,Marketing Spend,Stock Available,Demand Level,Previous Month Sales,Forecasted Sales,Actual Sales,Forecast Error %,Season
ORD001,2025-01-05,January,Q1,2025,North,Lucknow,Fashion,T-Shirt,175,1928,337400,4,11717,792,Low,327465,333824,337400,1.06,Winter
ORD002,2025-01-12,January,Q1,2025,North,Delhi,Fashion,Jeans,97,1891,183427,7,38118,716,Low,181993,187622,183427,2.29,Winter
ORD003,2025-01-19,January,Q1,2025,West,Mumbai,Electronics,Tablet,279,4927,1374633,8,5425,877,Medium,1371018,1376557,1374633,0.14,Winter
ORD004,2025-01-26,January,Q1,2025,South,Bangalore,FMCG,Shampoo,440,2857,1257080,3,11078,489,High,1254496,1257961,1257080,0.07,Winter
ORD005,2025-02-02,February,Q1,2025,East,Kolkata,FMCG,Biscuits,423,3863,1634049,17,13180,487,High,1631758,1638093,1634049,0.25,Winter
ORD006,2025-02-09,February,Q1,2025,East,Kolkata,FMCG,Biscuits,410,669,274290,1,48336,333,High,268549,270597,274290,1.35,Winter
ORD007,2025-02-16,February,Q1,2025,West,Pune,Electronics,Laptop,282,3088,870816,5,29260,463,Medium,866384,870190,870816,0.07,Winter
ORD008,2025-02-23,February,Q1,2025,North,Delhi,Fashion,Sneakers,323,2105,679915,5,35294,488,Medium,674493,684040,679915,0.61,Winter
ORD009,2025-03-02,March,Q1,2025,East,Kolkata,Electronics,Tablet,167,362,60454,25,25673,510,Low,55068,56538,60454,6.48,Spring
ORD010,2025-03-09,March,Q1,2025,East,Kolkata,Electronics,Tablet,385,4189,1612765,12,47129,569,High,1609425,1612104,1612765,0.04,Spring
ORD011,2025-03-16,March,Q1,2025,East,Bhubaneswar,Electronics,Laptop,348,3371,1173108,11,19373,241,Medium,1163760,1176193,1173108,0.26,Spring
ORD012,2025-03-23,March,Q1,2025,North,Delhi,Electronics,Laptop,371,1410,523110,25,49596,532,High,521070,524414,523110,0.25,Spring
ORD013,2025-03-30,March,Q1,2025,West,Pune,FMCG,Biscuits,333,194,64602,21,12507,798,Medium,54805,63973,64602,0.97,Spring
ORD014,2025-04-06,April,Q2,2025,North,Lucknow,Fashion,Jeans,272,1395,379440,14,5212,839,Medium,374125,382641,379440,0.84,Spring
ORD015,2025-04-13,April,Q2,2025,North,Lucknow,Electronics,Tablet,480,4258,2043840,19,18035,256,High,2036714,2041486,2043840,0.12,Spring
ORD016,2025-04-20,April,Q2,2025,North,Lucknow,Fashion,Sneakers,300,259,77700,3,28788,999,Medium,71662,76623,77700,1.39,Spring
ORD017,2025-04-27,April,Q2,2025,North,Delhi,Electronics,Laptop,424,4081,1730344,26,9535,878,High,1720617,1727404,1730344,0.17,Spring
ORD018,2025-05-04,May,Q2,2025,West,Mumbai,Electronics,Tablet,185,4422,818070,27,44753,533,Medium,813600,821905,818070,0.47,Summer
ORD019,2025-05-11,May,Q2,2025,South,Chennai,Fashion,Sneakers,254,3159,802386,14,38919,562,Medium,799404,801447,802386,0.12,Summer
ORD020,2025-05-18,May,Q2,2025,East,Kolkata,Electronics,Laptop,351,4637,1627587,7,43564,325,High,1626470,1623750,1627587,0.24,Summer
ORD021,2025-05-25,May,Q2,2025,North,Delhi,Fashion,Sneakers,84,357,29988,27,26654,172,Low,20565,28887,29988,3.67,Summer
ORD022,2025-06-01,June,Q2,2025,West,Mumbai,FMCG,Biscuits,326,1183,385658,23,42423,690,Medium,376914,384639,385658,0.26,Summer
ORD023,2025-06-08,June,Q2,2025,South,Bangalore,FMCG,Shampoo,99,3631,359469,11,32759,520,Low,350818,355356,359469,1.14,Summer
ORD024,2025-06-15,June,Q2,2025,North,Delhi,Fashion,Sneakers,256,2879,737024,25,12161,354,Medium,732885,735140,737024,0.26,Summer
ORD025,2025-06-22,June,Q2,2025,South,Chennai,Fashion,Jeans,143,2381,340483,14,21371,995,Low,338248,342743,340483,0.66,Summer
ORD026,2025-06-29,June,Q2,2025,North,Delhi,Fashion,T-Shirt,97,2036,197492,5,31634,597,Low,188606,195994,197492,0.76,Summer
ORD027,2025-07-06,July,Q3,2025,South,Chennai,FMCG,Soap,51,3298,168198,8,34819,392,Low,160268,172303,168198,2.44,Monsoon
ORD028,2025-07-13,July,Q3,2025,West,Mumbai,Fashion,Sneakers,147,2530,371910,6,8832,693,Low,362027,367908,371910,1.08,Monsoon
ORD029,2025-07-20,July,Q3,2025,North,Delhi,Fashion,Jeans,349,4005,1397745,16,39807,261,Medium,1395814,1401065,1397745,0.24,Monsoon
ORD030,2025-07-27,July,Q3,2025,North,Delhi,Electronics,Laptop,395,2026,800270,12,12856,683,High,795237,804755,800270,0.56,Monsoon
ORD031,2025-08-03,August,Q3,2025,North,Lucknow,Fashion,T-Shirt,386,4881,1884066,18,39261,423,High,1878794,1882412,1884066,0.09,Monsoon
ORD032,2025-08-10,August,Q3,2025,East,Kolkata,Fashion,Sneakers,185,3342,618270,4,49019,760,Medium,612355,620761,618270,0.4,Monsoon
ORD033,2025-08-17,August,Q3,2025,North,Lucknow,FMCG,Soap,368,4712,1734016,3,9801,650,High,1729524,1737304,1734016,0.19,Monsoon
ORD034,2025-08-24,August,Q3,2025,East,Kolkata,FMCG,Soap,500,2101,1050500,11,23676,261,High,1042321,1054400,1050500,0.37,Monsoon
ORD035,2025-08-31,August,Q3,2025,North,Lucknow,Fashion,Jeans,389,948,368772,30,13800,370,High,365881,365525,368772,0.88,Monsoon
ORD036,2025-09-07,September,Q3,2025,South,Chennai,Fashion,Sneakers,194,1825,354050,22,27471,308,Medium,348725,357330,354050,0.93,Autumn
ORD037,2025-09-14,September,Q3,2025,North,Delhi,FMCG,Shampoo,374,3569,1334806,26,23132,145,High,1333748,1335270,1334806,0.03,Autumn
ORD038,2025-09-21,September,Q3,2025,East,Kolkata,Electronics,Tablet,429,3719,1595451,17,33028,674,High,1594293,1592283,1595451,0.2,Autumn
ORD039,2025-09-28,September,Q3,2025,South,Bangalore,Electronics,Tablet,477,3124,1490148,18,41210,251,High,1482107,1487236,1490148,0.2,Autumn
ORD040,2025-10-05,October,Q4,2025,East,Kolkata,Electronics,Smartphone,233,1820,424060,21,21353,782,Medium,421376,424854,424060,0.19,Festive
ORD041,2025-10-12,October,Q4,2025,South,Bangalore,Fashion,Jeans,492,1431,704052,25,16603,522,High,702646,701990,704052,0.29,Festive
ORD042,2025-10-19,October,Q4,2025,West,Mumbai,Fashion,Jeans,186,1404,261144,25,12084,491,Medium,259510,263855,261144,1.04,Festive
